asin,profile
097920500X,"ThinkCube turbocharges your combinatory play & random juxtaposition to the next level! Wow! I am very impressed by Kes Sampanthar's latest invention, ThinkCube!<br /><br />Having played with a wide variety of tools, like Pocket Innovator (precursor to the Knowbrainer, both from Gerard Haman), Thinkpak (from Michael Michalko), Whackpack & Innovative Whackpak (both from Roger von Oech), plus a host of minor others, for more than a decade in real world business settings, ThinkCube is a zesty, refreshing change.<br /><br />I recently experimented with it in a small group business setting.<br /><br />Despite the short orientation with it (luckily the author/inventor has an excellent  corporate website, Metamemes, to equip me with valuable prior knowledge), the group has been truly amazed by the practical results.<br /><br />In a nut shell, ThinkCube turbocharges my group's combinatory play & randomm juxtaposition to the next level. The permutation of forced associations from seemingly irrelevant connections has been really unbelievable.<br /><br />In fact, after generating all the crazy ideas, the same thinking or brainstorming process has been repeated to produce the next steps in putting those wild ideas to work immediately. These steps eventually culminate into my group's SMART Game Plan. (SMART stands for Specific Objectives, Metrics, Accountability, Resources, Timing for Implementation & Completion).<br /><br />As I am most familiar with the application of the famed Synectics process, especially in making the strange familiar & the familiar strange, the metaphorical connections arising from the ThinkCube process intervention add an  extra punch to the whole thinking or brainstorming process.<br /><br />At this juncture, I wish to share with readers a wonderful insight from Tom Peters, who in his wonderful book, `Liberation Management', drives home with this really great observation:<br /><br />""The essence of creation - in all endeavours - is chance connections between ideas & facts that are previously segregated. Entrepreneurship is the direct by-product of chance, of convoluted connections among ideas, needs & people.""<br /><br />Likewise, Jay Abraham, a high-powered marketing whiz kid, once shares these very interesting observations in his book, 'Getting Everything You Can Out of All You've Got':<br /><br />- ice cream was invented in 2000BC. Yet it was 3900 years later before someone figured out the ice cream cone;<br />- meat was on this planet before humans. Bread was baked in 2600 BC. Nevertheless it took another 4900 years for somebody to put together & create the sandwich;<br />- The modern flush toilet was invented in 1775, but it wasn't until 1857 that somebody thought up toilet paper;<br /><br />According to him, ""once these obvious connections have been made, they seem so obvious. So evident. We can't believe we didn't see them sooner. The endless number of these unmade connections exist to this day, especially in the business world.""<br /><br />He adds further:<br /><br />""You are surrounded by simple, obvious solutions that can dramatically uncover your income, power, influence, & success, the problem is you just don't see them.""<br /><br />Leonardo da vinci, whom I had met - in the form of a marble statute in the Vatican Museums, Rome as well as in Milan - during my recent holidays in Italy, once said,<br /><br />""Everything is connected to everything else"".<br /><br />Well, let me put it this way, ThinkCube definitely empowers you to see more connections &/or juxtapositions in your work, your business & your life!<br /><br />My only complaint about ThinkCube is that it's quite bulky to carry around, but I must say, the packaging, with its bright colours, visually appealing design & clean-cut style, is eye catching.<br /><br />Best of all, the whole product works very well together to make my day!<br /><br />Many thanks to you, Kes, for coming up & for sharing your wonderful invention with the world!"
0984893229,"What's wrong with you miserable worms? This is the greatest, most edgy comic strip in history. It's lost on you drooling peons. on second thought, don't buy it. You don't deserve it! You don't deserve it!"
0985393300,"Great for newcomers and old salts! I have been in Yokosuka for 4 years, am the organizer of a meetup group, and am very adventurous. In other words, I get around Yokosuka and spend a lot of time out in town. Although I knew of many of the places in the book, there are a plethora of yet to be explored treasures included! I am working my way through the book and having a great time doing it. I have gifted it twice as well, a must have for those who seek to really try out the culture around Yokosuka. I do wish there was an index. I would like to suggest a companion application for smartphones (paid but free for print book purchasers). That would be the bee's knees! Best book you can buy for your move to Yokosuka Seriously, if your moving (or getting stationed at) Yokosuka Japan, do yourself a HUGE favor and buy this book. I was somewhat leery at first to spend the money, but once I got the book i knew it was good. Whats even better is once you get to Yokosuka, the book becomes even more valuable. So valuable that my wife and I have started bringing it with us everywhere go to reference back to it at times.  Trust me when I say this, if you are considering buying this book, Do it... You won't regret it. Most useful thing for Americans in Yokosuka! I don't know how long I poked around Yokosuka on my own before I discovered this book. It was a huge amount of trial and error, for sure. Finding things on my own was fun, but certainly tricky. Now that I have a copy, it's my regular go-to reference for finding shops, restaurants, and sights in the area. There's still a bit of an adventure involved sometimes, but it's so much easier. What's even better about it is that the author encourages people to tell her about things she may have missed in the previous edition, so it's an always-growing guide to the area. It's worth every penny, even if you think you've seen it all! Flatten the learning curve and take full advantage of your orders to Japan Even service members and their families, who move A LOT, can feel a little intimidated when they move to Japan.  Cultural differences, indecipherable signage, and language barriers (to list just a few) can sow a bit of anxiety in even hardiest of military clans.  This book goes a very long way toward taking the sting out of that culture shock.  And it's the book I wish I had received in my welcome basket.<br /><br />Full disclosure: Shannon's my wife, though I took no part in writing this book (save for a little proof reading).  We spent 3 years living in Japan; and about halfway through that time she started organizing our ""Japan Binder"" into something more.  That something became this book.  Not only does it include good information on the more popular things to do in the area, it also gives you the inside baseball on the more mundane aspects of life in Japan: Restaurants (Do they take credit cards? Do I need to wear nice socks, since I'm leaving my shoes at the door? Is the place kid friendly?); Train travel; Museums (If you don't visit the Open Air Museum in Hakone you're just wrong.); Hair salons (Where does a woman with curly red hair go for a competent cut and color?); Shopping (So, what does a size 8 shirt translate to in Japanese sizes?); and, a handy map of the Yokosuka area that actually shows you where these places are.<br /><br />Part Zagats and part Lonely Planet, this slim book is designed to go into your purse or back pocket.  And if after a couple months it's not a dog-eared, marked up, and well worn volume, I have to conclude you're just not trying very hard.  Because, this is the book that can help you with both your daily errands and your weekend plans.  There are oodles of Tokyo guide books (including Zagats) that will help you with your big-city weekend.  And there are bunches of books that will help you plan a vacation to Osaka or Hiroshima.  But - to the best of my knowledge - this is the only book that (1) focuses on the Yokosuka area, and (2) is written for people where are LIVING in Japan - not merely visiting.  So, if you're moving to Yokosuka this book was written with you in mind.<br /><br />We loved our time in Japan.  And our kids (who were 4 months, 3, and 7 when we moved there) still consider it home, and anxiously await our return.  In part, I think we enjoyed our time there so much because of a great number of very dear friends who shared their own gaijin-guide knowledge.  This book collects that knowledge, builds upon it, and pays it forward.  So, if the opportunity arises, jump at the chance for orders to Japan.  It's a wonderful country, and I hope you get out there and enjoy it as much as we did. This book will help. Great Guide Discovered this after perusing Japanbases.com.  Bought before finding out we would be headed to Atsugi not Yokosuka. I read anything I was interested in and passed it on to someone going to be stationed there. A Must Have! I have lived in Yokosuka Japan for a year now and just purchased the book at the local treasure story. I have to sat I wish I would have bought this right when I got here but even after being here a year there is still so much I missed! I has asked the Yokosuka military spouse facebook page so many questions that the book already has all the answers. LOVE THE BOOK! Very Useful This book is full of useful information, from restaurants and shopping, to Japanese preschools that accept foreign kids. If you're stationed in Yokosuka and want to make the most out of your stay, this book is a great place to start. Think of it as a list of all the &#34;I wish I had known&#34; statements you will be avoiding when you leave! I think I should have ordered two; one for me, one for my wife...<br />It arrived sooner than expected...<br /><br />A=No shoes, wear nice socks.<br /><br />Awesome...Thanks Shannon! Super useful and informative guide!!!! I am really impressed by this guide to Yokosuka, which written by a Navy spouse who was recently stationed in Yokosuka, Japan with her husband and kids.  The guide is packed full of really useful information (IN ENGLISH!!!) about local restaurants, shopping, entertainment, beauty/health, schools, and practical tips about living in and around Yokosuka.  I haven't seen this much English information about Yokosuka in one place...not even on web blogs or review sites.  I have lived in Yokosuka for nearly three years, and there is a lot in this guide that I previously wasn't aware of because of the cultural nuances and language barriers that challenge us ""gaijin"".<br /><br />A lot of my friends in Yokosuka have this book, and their relatively new copies are dog-eared because they are really USING the guide to explore the areas in and around Yokosuka.  This book is very family-oriented, since there is a lot of focus on restaurants and fun stuff that doesn't include the local bar scene...which is a nuance rather hard to find online.  However if you're new to town and looking for a watering hole, there are tons of restaurants, izakayas, and karaoke places listed in this guide which have a much better drink selection and atmosphere than most bars in the Honch.<br /><br />I hope that future editions of this book will include photos, but I'm incredibly pleased with this guide, and only wish that I had more time here to explore it ALL!! Great investment! With the family stationed in Yokosuka in mind, this book is the perfect tool that assures we can take advantage of all the great fun in the area. It compiles efficiently the discoveries made by the author and the explorers who came before us. Make sure to follow it on Facebook where updates are often found.<br />Young couples without kids will also find this book very useful."
0989205339,Amazing Came in perfect condition. Also came with a mini step by step technical book for a few of the featured cuts
0990995119,"Excellent cardiac book Excellent book and informative about cardiac types and how to manage in Icu Excellent book Useful May buy if you go to CICU Handy dandy rescue notebook. Five Stars Awesome CICU resource for fellows, APPs and residents. This is a great guide for nurses in pediatric cardiac intensive care This is a great guide for nurses in pediatric cardiac intensive care! I use it every day at work. It is easy to navigate and has just the right amount of information (not too overwhelming but enough to give you a sufficient knowledge base). Great reference Comprehensive yet light-weight and user friendly. The ultimate companion to bedside nurses, fellows, residents and all those who want a glimpse into the complex field of pediatric CICU. Five Stars awesome"
0996212205,Five Stars Excellent!
130414089X,Benefit Automatic Eyeliner Pen This is by far the easiest eyeliner pen I have ever used.  And I have tried hundreds.  No smearing no goofs.  I bought 5!  That's how much I love using this pen.  Great price. It was an okay it did transfer onto the top ... It was an okay it did transfer onto the top of my lid and the color wasn't completely black
1421790432,Great companion to Sadlier program This book is great.  I can easily make copies for my students. I use this as extra work and in small groups to help my kiddos who need extra help. Excellent Excellent
1453085815,"Smells pretty! Pretty, clean fragrance.  However, the vial wasn't even 1/2 full! Three Stars Smells nice, but not for me. The base notes were not my favorite. Not worth the price I just didnt like the scent Do not buy. Empty  bottle, a vampire money thief :/ Love it I love this perfume, wish I could find it in a bigger bottle though. Three Stars Got it for my mom and she wasn't impressed. This is a nice alternative. This scent is divine! Tons of compliments. Wish it was cheaper. This is a nice alternative. Five Stars Nice and unususal noice not a spicy smell but fresh and clean and soothing."
1477026177,Five Stars Bottles were a little smaller than I expected but love the perfume
1477044280,"Five Stars I love it. One of the most wonderful perfumes I've ever had! Teenie vial and fragrant does NOT last After watching the advertisement on QVC, I had to look into this.  First.....I was very disappointed for the price of the size bottle it came in, more like a sample.  Secondly, don't get me wrong, but the smell is awesome... beautiful and sensual.  BUT it fades quickly and I mean QUICKLY.  Does not stay on.  In three days I used the teenie weenie little vial it came in.  Very disappointed. WONT ORDER AGAIN. Again the smell is awesome but does not last at all.  Found a much better fragrance which stays and is seductive. Five Stars Smells like heaven Awesome Smells really intriguing!"
1481469843,High quality Very heavy wooden holder.<br />Easy to hold.<br />Right length.<br />Much easier than use a tower to clean back. Good
1598438263,It’s what I needed. Great book Gr8 Books Gr8 Sunday school books! Been using this series for many years ! Easy read indepth research! Bible Study set for the summer! All's good.
1601163509,Five Stars Great!
1610182464,"A Delight! What a delightful story, written with humor and wisdom.  And this talented young lady shows even more talent in her illustrations.  What a joy to know her and experience her talents.  Children will enjoy this book and learn some new things in the process... I sure did! A MUST for your library at  home or school! This is not the last we have heard from this super-talented young author.  The story and illustrations are fantastic.  Having read to children in school programs for over 9 years, I have read countless books, some of which were of questionable quality.  The Tale of the Hungry Frog is brilliantly written and a joy to read.  I highly recommend this book to anyone who has a young reader in their life."
162209798X,"learn about the power of full breathing Jessica Wolf's Art of Breathing collected articles is a comprehensive, thoughtful collection of essays that offers the reader many insights into ways to enhance the breathing mechanism. The reader learns about the life work of two men who influenced Ms. Wolf's personal investigation into the breathing mechanism: FM Alexander and Carl Stough. Ms. Wolf testifies to the success of a teaching process that utilizes the Alexander Technique and Stough's Breathing Coordination to solve her own respiratory problems and has the potential to enhance quality of life and work for any of us. She generously offers creative lesson plans for working with acting students and case studies that demonstrate how improved breathing and postural coordination can alter patterns of chronic pain.<br />Idelle Packer, physical therapist and teacher of the Alexander Technique This short book contains some of the best information on breathing you will ever read This short book contains some of the best information on breathing you will ever read.  Many myths are dispelled and replaced with anatomically accurate information that is actually usable.  It's near impossible to find a source of information on breathing that is both user-oriented (ie-will actually help you breathe better) AND anatomically accurate.  This is a book I will continue to re-read until I'm dead. Great presentation of Ms Wolf's knowledge of our breathing process There is a wealth of information about breathing in The Art of Breathing. I am amazed at how Ms Wolf's descriptions create a new awareness in my entire being. Her years of studying with Carl Stough have been expressed and presented in a very useful and practical way. This is a very important book for all of us who breathe! Like Barbara Conable in her Body Mapping work I do not understand how a teacher of the Alexander Technique can miss the obvious, central issue in respiration – the support and opposition of the spine to the contraction of the muscles that move the ribs in breathing.<br />Was not Alexander’s first observation of his misuse of himself that he pulled his head back and down, compressing his larynx and shortening in stature, when he inhaled before speaking? Breathing Coordination (the method Carl Stough taught Jessica) makes this misuse the rule! Like Barbara Conable in her Body Mapping work, Jessica shows the spinal curves augmenting on inhalation, and, thus, stature decreasing – the opposite of what Alexander taught. What happens in healthy respiration is exactly the contrary -- the spinal curves diminish on inspiration, which gives the diaphragm and the muscles that support the ribcage the opposition they need to expand the thoracic cavity. Does it make any sense to attempt to increase lung volume by shortening?  What happened to allowing the back to lengthen and widen?<br />Further, in four-legged mammals, respiratory cycle is linked to gait, such that inspiration occurs only on extension  The mechanical needs of stride and respiration are co-ordinated. Every known running quadruped inhales on extension. Obviously, man has not evolved a respiratory system that functions best in a completely contradictory manner, independent of spinal support.<br />The central tendon of the diaphragm (aponeurosis) is joined to a neckwork of fascia, primarily through the pericardium, to which it is welded, that attaches to the upper ribs and cervical spine. It is completely fused to the pericardium, which surrounds the heart, and limits its movement. Thus, when the spine is allowed to lengthen on inspiration, the vertical travel of the diaphragm is limited, which maximizes its effect on the ribs. At the same time, the sternocleidomastoid muscles, which originate from the upper sternum, have their insertion in the mastoid process, on the skull behind the ears.  When the spine lengthens on inhalation, the sternocleidomastoids are prepared to provide support for the sternum against the contraction of the diaphragm and intercostal muscles.  Note that this is not the same as lifting the chest. The extension of the spine simply allows it to support the upper ribcage against the strong contraction of the diaphragm and para-sternal intercostal muscles that lift the ribs in inhalation.<br />Further, the scalenes, which descend from the transverse processes of the cervical vertebrae, attach to the 1st and 2nd  ribs. When the spine lengthens on inspiration, these muscles are supported so that their action may lift the top ribs, and so that contraction of the parasternal intercostals, which assist the diaphragm in lifting the ribs, does not compress the upper chest.<br />Physiologists have observed that abdominal muscles actually increase tone during inhalation, pressing the viscera inwards and creating upward pressure on the diaphragm, further restricting its descent, so that rib movement is maximized. When we’re breathing vigorously, especially, the diaphragm is pushed upward actively by contraction of the muscles of the abdominal wall. These raise the pressure in the abdomen, limiting the descent of the diaphragm by retaining the internal organs. Thus, we get the whole thoracic cage expanding in 3 dimensions, and the diaphragm works, not like a plunger, but more like an umbrella opening.<br />Look at it this way: if you go to lift a heavy weight, does the back shorten? Or does it lengthen to oppose the weight and support the action of muscles which, however, indirectly, depend on the spine for support?<br />Roger Fiammetti, in his Total Respiration, actually shows this fairly well, although he also over-emphases the vertical travel of the diaphragm. In this animation, one sees the spinal lengthen on inhalation, and relax back to a resting state on exhalation.<br />On Odile Rouquet’s DVD “Respiration et mouvement”, Philippe Campignion states:<br />(in translation from the original French): &#34;When my diaphragm descends, my vertebral column rises, and during that time, my ribs are in torsion, this is quite complex; it is important to realize that if I'm focused on my diaphragm, I feel its descent, on the other hand, if I focus on my vertebral column, I feel something that rises, and when my diaphragm rises, at least when  the central tendon of the diaphragm rises, the thoracic cage descends.<br /><br />In 1986, I took a workshop with Carl Stough (founder of Breathing Coordination). Even at that time, when I was training to teach the Alexander Technique, I saw him as someone with poor posture (or use of himself) who had developed a method for teaching people with poor posture how to get more air into their lungs by maximizing the vertical travel of the diaphragm, especially in exhalation. His method is, I believe, like many mechanical methods, a way to optimize breathing without improving overall use. I later took some private lessons in Stough’s method from the son of his partner. He actually had me slouch to let my belly soften (which Stough did not do), and certainly did not impress me as someone to emulate in respiration.<br />My 27 years of teaching the Alexander Technique to musicians, singers and dancers, and my years of experience studying dance, Tai-Chi and running, tell me that this is terribly wrong."
1625682824,"Four Stars This was recommended by British designer Erdem. I love it: soft, subtle."
1625684320,"Doesn’t really feel like it does anything Doesn’t really feel like it does anything! I’m really disappointed. I love doing masks, really love eminence but wanted to try something different. Good Good"
1741666929,Five Stars Fantastic reference will always be useful A work of great depth
1891129716,I like it.  Just what I expected. Good reference chart. Knowledge Easy to read
1908505753,"Leela Rocks! I'm a guy that really enjoys action and adventure and Leela delivers.  River has introduced her in""Red Wine"" in a way that whets the appetite for more.  Can't wait to get into more about her in ""Dark Light""."
1931292108,"Such a fun way to effortlessly teach a child to read &lt;3 Omg this was years ago. My daughter is 27 years old now but I taught her to read using this curriculum. Now my grandkids are being homeschooled and I was telling her about the curriculum I used for her! And apparently it’s out of print! :’(  I thought this curriculum was so CUTE! And she learned to read! So EASY! Come along to Alphabet Island! As long as I have been Home schooling, I have never seen a better program!<br />Yes I have taught my 3 oldest children to read with many other methods, but this beats them all! My children love the songs, rhymes, workbooks, and I love the teacher manual.<br />You do have to cut out the flashcards, but there are so many wonderful resources in the guide ( which is in a nice medium sized binder). We plan on making a puzzle ( I wish they sold one!) I have a struggling learner and a friend recommended this program.<br />I was reluctant to try it, but am very glad we did! It will be in use for a long time here, as I have 2 younger children and one on the way.  We will have to buy more workbooks but that is low in cost and I won't have to worry about what to buy anymore!<br />I Highly recommend this program.  Along with reading aloud, when a child is ""ready"" this covers phonics, rhyming, songs, plenty of word lists for years of learning!<br />I bought mine from Eagle's Wings, and I had the Science book so I knew it would be good quality.  CBD has their program now too!"
1933427205,"Great address book As we were rueing having to replace our old personal address book, which my husband loved because of the Jack Vettriano paintings, lo and behold, we found the same book on Amazon.  We are pleased with this find/purchase."
2464782475,"Ok product It smells and feels really good.  Bought it to even my skin tone, having some issues with brown spots on my cheeks however it didn't do any noticeable.  It will stain fabric if you use too much. Great buy Works wonders in dark spots and hyperpigmentation easy to apply to greasy smell isn’t the best but it works Magnificent Magic Cream- Vicco, where have you been my whole life? Vicco Skin Cream - where have you been my whole life?!?!  I am totally impressed with this MIRACLE FACE LOTION! Vicco cream surpasses any lotion I currently use and for that matter ever used in the past, (including samples of ridiculously expensive stuff I got over the years), which is saying a lot since I am a notorious beauty product hoarder.  With occasional acne and eczema outbreaks thanks to my chronic illness (which also allows me to know the wonderful powers of taking tumeric as a supplement for joint pain)),I have easily tried over 100 types of facial cream,, including prescriptions from a dermatologist and products created for men, and even trying  thicker body lotions/butters and bodyface lotions for babies on my face in hopes that they would work (hint: they didn't, I don't even use a single face cream regularly now!). When I stumbled upon this while deep in the Amazon rabbit hole and saw the amazing reviews and crazy low price, I knew I had to at leat try it and I am so glad that I did!  (other posts for the same cream have hundreds of 4-5 star reviews, but many were either add-on items or I would have had to buy three or more tubes and didn't want to break my $10 test threshold without knowing if I would like the product or not) This tumeric and sandalwood cream, that feels like liquid velvety silk (if that makes sense) and smells absolutely incredible (kind of like a softer nagchampa incense stick that I want to bottle it up and wear it as perfume), is the perfect consistency, not too thick or too runny and it goes on smooth, fully blends in (which can often be a concern when tumeric is involved - it is used as a dye after all), fully absorbing/not leaving any greasy residue and drying to a perfect, soft, velvety matte (but not dry) finish within seconds. Plus, not only does this cream act in a preventative manner for acne, dark sports, some sunburn and signs of aging, its natural antibacterial properties help fight current breakouts (it made a little cluster of bumps I had at my airline disappear within 36 hours with only two applications!). Also, Vicco Cream is an amazing pre-makeup skin primer - it  doesn't minimize the porto complexly like an actual primer is designed to, but what makes it so spectacular as a primer is that it dries to such an incredibly textured canvas! I used this cream on my whole face and then used my Innisfree Blur Primer on just my nose/sides of nose where my pores are the most visible and incredibly enough, I couldn't feel the difference on where the Vicco ended and the Blur primer began. So, if you get this cream for no other reason,  two massive tubes of primer for under $10 is a steal.  Overall, this is a ridiculously versatile face cream that will fight and help stop future acne, eczema and psoriasis breakouts from occurring; help protect your skin from dangerous UV rays, cool the skin if you do end up with a sunburn, and undo some previous sun damage; reverse and prevent signs of aging like fine lines and age spots; aid in the healing of minor cuts/wounds, skin infections, boils and burns; and it will even serve as a preemptive tool against potential bacterial or fungal infections in the future. Basically this cream is like a rainbow unicorn, the price is crazy low for any unicorn, especially a rainbow unicorn and we could all use a little unicorn magic in our lives and for our faces - so go order this today! You won't be disappointed!<br /><br />Magnificent Magic Cream It inflamed me where I put it I do not know if it was a allergic reaction It inflamed me where I put it I do not know if it was a allergic reaction"
3772440908,Beaded big heads Great graphs and designs.  It's great to have such a pattern book in a European language because the Chinese and Japanese books are hard to translate.  Now when will someone come out with an English book on the topic?
3849903249,Five Stars Very nice picture book! 1000 of things to explore throughout the year!
3862336476,"Detailed pictures! Love the detailed pictures. My 1st grader loves to look at this book, he finds new things every day. A fun adventure on every page."
3941656015,"Not a problem the English translation is good, and I get to brush up on my ... I didn't realize it is written in German and English. Not a problem the English translation is good, and I get to brush up on my German. Four Stars good info"
3943596346,Selbstlose Feel the Love and live the Hurt of a woman giving her all for her family. She invites you to live her life as she lived it. Who knew?
419881029X,Five Stars Freaking beautiful man. Freaking beautiful. Five Stars Exceptional art work! Lovely coloring pages!
